"t0","order_of_test","time_start_battery","order_in_test","word_pool","word","endcoding","recall_session","remember","confidence","correct","ID","time","t0_absolute","Woman","SD"
1424446854980,2,344638,2,1,10,"Dummy",2,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,11,"Encoded",2,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,12,"Encoded",2,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,13,"Encoded",2,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,14,"Encoded",2,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,15,"Encoded",2,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,16,"Encoded",2,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,17,"Dummy",2,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,18,"Dummy",2,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,19,"Dummy",2,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,20,"Encoded",2,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,21,"Encoded",2,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,22,"Encoded",2,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,23,"Dummy",2,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,344638,2,1,24,"Dummy",2,0,NA,1,"102",3,NA,1,"Control"
